,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
0,WEC.N,2004-01-30T00:00:00Z,-1.076233185816,3893532533.7,16.545
1,WEC.N,2004-02-27T00:00:00Z,-1.41544604785194,3831248352.0,16.16
2,WEC.N,2004-03-31T00:00:00Z,-0.525990099021878,3801326655.14999,16.075
3,WEC.N,2004-04-30T00:00:00Z,-1.13350126136623,3712648739.39999,15.7
4,WEC.N,2004-05-28T00:00:00Z,2.01558246292393,3761126000.00999,15.905
5,WEC.N,2004-06-30T00:00:00Z,2.51493241111123,3835243088.37,16.305
6,WEC.N,2004-07-30T00:00:00Z,-1.41061024481457,3781142756.54999,16.075
7,WEC.N,2004-08-31T00:00:00Z,2.53349813300832,3851708406.75,16.375
8,WEC.N,2004-09-30T00:00:00Z,-1.60394818063153,3733172879.7,15.95
9,WEC.N,2004-10-29T00:00:00Z,2.31974921646732,3819773128.32,16.32
10,WEC.N,2004-11-30T00:00:00Z,2.55971561345691,3893500367.01,16.635
11,WEC.N,2004-12-31T00:00:00Z,1.32251277383242,3944992406.73,16.855
12,WEC.N,2005-01-31T00:00:00Z,1.39424503302448,3998567876.36,17.09
13,WEC.N,2005-02-28T00:00:00Z,2.9437727354549,4061740101.44,17.36
14,WEC.N,2005-03-31T00:00:00Z,2.2465437821988,4152988871.0,17.75
15,WEC.N,2005-04-29T00:00:00Z,-0.282805427286958,4124912326.52,17.63
16,WEC.N,2005-05-31T00:00:00Z,3.58715564619478,4246577352.6,18.15
17,WEC.N,2005-06-30T00:00:00Z,7.40842743180363,4562283687.0,19.5
18,WEC.N,2005-07-29T00:00:00Z,2.94871794788687,4696812564.95,20.075
19,WEC.N,2005-08-31T00:00:00Z,-1.87319240315648,4582170564.61,19.585
20,WEC.N,2005-09-30T00:00:00Z,3.41968911686836,4669906789.36,19.96
21,WEC.N,2005-10-31T00:00:00Z,-5.23547094167911,4425415176.38999,18.915
22,WEC.N,2005-11-30T00:00:00Z,1.12916599602033,4439452972.35,18.975
23,WEC.N,2005-12-30T00:00:00Z,2.92490118722277,4569302584.98,19.53
24,WEC.N,2006-01-31T00:00:00Z,6.27240143393826,4855871970.25,20.755
25,WEC.N,2006-02-28T00:00:00Z,0.185243780190159,4781004274.25,20.435
26,WEC.N,2006-03-31T00:00:00Z,-2.15316858164953,4678061192.25,19.995
27,WEC.N,2006-04-28T00:00:00Z,-3.05362462680153,4568099263.75,19.525
28,WEC.N,2006-05-31T00:00:00Z,2.67884065926813,4664023499.25,19.935
29,WEC.N,2006-06-30T00:00:00Z,2.91113380771393,4714248984.9,20.15
30,WEC.N,2006-07-31T00:00:00Z,4.71464019939185,4936508862.6,21.1
31,WEC.N,2006-08-31T00:00:00Z,2.46374281387536,5030091969.0,21.5
32,WEC.N,2006-09-29T00:00:00Z,1.62544169715617,5046469012.62,21.57
33,WEC.N,2006-10-31T00:00:00Z,6.49049605901018,5374009885.01999,22.97
34,WEC.N,2006-11-30T00:00:00Z,2.07410433752855,5472272146.74,23.39
