,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
95,CFG.N,,NaN,,
96,CFG.N,,NaN,,
97,CFG.N,,NaN,,
98,CFG.N,,NaN,,
99,CFG.N,,NaN,,
100,CFG.N,,NaN,,
101,CFG.N,,NaN,,
102,CFG.N,,NaN,,
103,CFG.N,,NaN,,
104,CFG.N,,NaN,,
105,CFG.N,,NaN,,
106,CFG.N,,NaN,,
107,CFG.N,,NaN,,
108,CFG.N,,NaN,,
109,CFG.N,,NaN,,
110,CFG.N,,NaN,,
111,CFG.N,,NaN,,
112,CFG.N,,NaN,,
113,CFG.N,,NaN,,
114,CFG.N,,NaN,,
115,CFG.N,,NaN,,
116,CFG.N,,NaN,,
117,CFG.N,,NaN,,
118,CFG.N,,NaN,,
119,CFG.N,,NaN,,
120,CFG.N,,NaN,,
121,CFG.N,,NaN,,
122,CFG.N,,NaN,,
123,CFG.N,,NaN,,
124,CFG.N,,NaN,,
125,CFG.N,,NaN,,
126,CFG.N,,NaN,,
127,CFG.N,,NaN,,
128,CFG.N,2014-09-30T00:00:00Z,1.47313691591073,13606980748.08,23.42
129,CFG.N,2014-10-31T00:00:00Z,0.853970964997108,13723180412.88,23.62
130,CFG.N,2014-11-28T00:00:00Z,5.52203245609062,13440604866.6899,24.63
131,CFG.N,2014-12-31T00:00:00Z,0.933820544494468,13570689142.34,24.86
132,CFG.N,2015-01-30T00:00:00Z,-3.86162510130661,13046640004.0999,23.9
133,CFG.N,2015-02-27T00:00:00Z,4.53589399117562,13560183721.44,24.84
134,CFG.N,2015-03-31T00:00:00Z,-2.85829307672472,13693930566.1099,24.13
135,CFG.N,2015-04-30T00:00:00Z,7.11348684327768,14783542944.35,26.05
136,CFG.N,2015-05-29T00:00:00Z,3.42921396685414,14413680786.56,26.84
137,CFG.N,2015-06-30T00:00:00Z,1.75111773565984,14669558771.2699,27.31
138,CFG.N,2015-07-31T00:00:00Z,-4.18010071102168,14003493122.19,26.07
139,CFG.N,2015-08-31T00:00:00Z,-4.79478327473728,13093395691.86,24.82
140,CFG.N,2015-09-30T00:00:00Z,-3.36168489522301,12589407128.6,23.86
141,CFG.N,2015-10-30T00:00:00Z,1.84409052889112,12821567193.0,24.3
142,CFG.N,2015-11-30T00:00:00Z,10.0372426308049,14050964495.47,26.63
143,CFG.N,2015-12-31T00:00:00Z,-1.65227187156153,13818804361.11,26.19
144,CFG.N,2016-01-29T00:00:00Z,-18.8621611304832,11212279216.25,21.25
145,CFG.N,2016-02-29T00:00:00Z,-9.0581133394977,10149817548.75,19.23
146,CFG.N,2016-03-31T00:00:00Z,8.94435777422295,11063080075.6,20.95
147,CFG.N,2016-04-29T00:00:00Z,7.52941176295914,12066414306.8,22.85
148,CFG.N,2016-05-31T00:00:00Z,3.59978061079138,12457483239.0,23.55
149,CFG.N,2016-06-30T00:00:00Z,-15.3030945329846,10571317620.48,19.98
150,CFG.N,2016-07-29T00:00:00Z,11.7617617622379,11814690814.08,22.33
151,CFG.N,2016-08-31T00:00:00Z,11.5266094571358,12867293747.14,24.77
152,CFG.N,2016-09-30T00:00:00Z,-0.080873435484896,12836125494.22,24.71
153,CFG.N,2016-10-31T00:00:00Z,7.08215297531964,13682863031.88,26.34
154,CFG.N,2016-11-30T00:00:00Z,27.7520498974162,17153026854.0299,33.51
155,CFG.N,2016-12-30T00:00:00Z,6.32646971107447,18238207902.39,35.63
156,CFG.N,2017-01-31T00:00:00Z,1.90850407053464,18514621943.01,36.17
157,CFG.N,2017-02-28T00:00:00Z,1.41834207411355,19025361961.41,37.37
158,CFG.N,2017-03-31T00:00:00Z,-7.54616002051142,17597120429.6,34.55
159,CFG.N,2017-04-28T00:00:00Z,5.24655963242489,18697258783.52,36.71
160,CFG.N,2017-05-31T00:00:00Z,-6.75953343765843,17273226818.1,34.1
161,CFG.N,2017-06-30T00:00:00Z,4.17518248369304,18049828763.68,35.68
162,CFG.N,2017-07-31T00:00:00Z,-1.17713004711776,17746300253.0799,35.08
163,CFG.N,2017-08-31T00:00:00Z,-5.55872292048031,16587233509.87,33.13
164,CFG.N,2017-09-29T00:00:00Z,13.4171907747618,18960414519.1299,37.87
165,CFG.N,2017-10-31T00:00:00Z,0.8449960396685,19030508472.9899,38.01
166,CFG.N,2017-11-30T00:00:00Z,7.38639378089982,20024050102.1,40.7
167,CFG.N,2017-12-29T00:00:00Z,3.14496314373047,20653799097.94,41.98
168,CFG.N,2018-01-31T00:00:00Z,9.86183897197304,22582405397.7,45.9
169,CFG.N,2018-02-28T00:00:00Z,-6.92556165741129,21193769294.84,43.49
170,CFG.N,2018-03-29T00:00:00Z,-3.47206254208429,20474360163.76,41.98
171,CFG.N,2018-04-30T00:00:00Z,-1.16722248656518,20235378827.88,41.49
172,CFG.N,2018-05-31T00:00:00Z,-1.01358698586277,19801080425.35,40.85
173,CFG.N,2018-06-29T00:00:00Z,-3.80811078058539,18855863611.8999,38.9
174,CFG.N,2018-07-31T00:00:00Z,2.9562982005032,19282422994.38,39.78
175,CFG.N,2018-08-31T00:00:00Z,3.46907993928085,19589955511.5599,41.16
176,CFG.N,2018-09-28T00:00:00Z,-5.7429130021732,18357254229.37,38.57
177,CFG.N,2018-10-31T00:00:00Z,-2.44340028001901,17708405007.6,37.35
178,CFG.N,2018-11-30T00:00:00Z,0.082576383431499,17013282283.44,36.36
179,CFG.N,2018-12-31T00:00:00Z,-18.234323433246,13854417364.32,29.73
180,CFG.N,2019-01-31T00:00:00Z,15.1496240232541,15806990817.28,33.92
181,CFG.N,2019-02-28T00:00:00Z,5.49501442153528,17006806821.64,36.94
182,CFG.N,2019-03-29T00:00:00Z,-12.0194910655839,14962675195.0,32.5
183,CFG.N,2019-04-30T00:00:00Z,12.3692307684525,16692425372.6,36.2
184,CFG.N,2019-05-31T00:00:00Z,-9.99999999928636,14933224600.92,32.58
185,CFG.N,2019-06-28T00:00:00Z,5.48926014328253,16207453096.64,35.36
