,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
80,TSLA.OQ,2010-09-30T00:00:00Z,1.96275792769478,1901703924.89,1.350665316
81,TSLA.OQ,2010-10-29T00:00:00Z,7.79861796560275,2035442965.92,1.455998544
82,TSLA.OQ,2010-11-30T00:00:00Z,61.7673992696378,3295253866.33,2.355330978
83,TSLA.OQ,2010-12-31T00:00:00Z,-24.6249646205247,2483798767.63,1.775331558
84,TSLA.OQ,2011-01-31T00:00:00Z,-9.50056327311927,2247823894.1,1.60666506
85,TSLA.OQ,2011-02-28T00:00:00Z,-0.499791752777867,2277562013.19,1.592665074
86,TSLA.OQ,2011-03-31T00:00:00Z,15.948095435163,2645556545.25,1.84666482
87,TSLA.OQ,2011-04-29T00:00:00Z,16.0639192582591,2639462630.4,1.83999816
88,TSLA.OQ,2011-05-31T00:00:00Z,9.20289854824834,2882369698.56,2.009331324
89,TSLA.OQ,2011-06-30T00:00:00Z,-1.42131979543568,2995753669.2,1.941998058
90,TSLA.OQ,2011-07-29T00:00:00Z,-3.29557157643549,2897026462.8,1.877998122
91,TSLA.OQ,2011-08-31T00:00:00Z,-12.1760738374753,2573412098.75999,1.649331684
92,TSLA.OQ,2011-09-30T00:00:00Z,-0.974421436144124,2537005702.86,1.625998374
93,TSLA.OQ,2011-10-31T00:00:00Z,20.4182041809726,3063250880.58,1.957998042
94,TSLA.OQ,2011-11-30T00:00:00Z,9.60830264668511,3414737277.16,2.182664484
95,TSLA.OQ,2011-12-30T00:00:00Z,-12.7672571764816,2978768987.04,1.903998096
96,TSLA.OQ,2012-01-31T00:00:00Z,1.78571428617924,3040839559.08,1.937998062
97,TSLA.OQ,2012-02-29T00:00:00Z,13.9883998655065,3494821110.03999,2.227331106
98,TSLA.OQ,2012-03-30T00:00:00Z,11.4636336413758,3895454598.56,2.482664184
99,TSLA.OQ,2012-04-30T00:00:00Z,-11.0365198715667,3485753072.0,2.208664458
100,TSLA.OQ,2012-05-31T00:00:00Z,-10.9568367024335,3103824800.0,1.9666647
101,TSLA.OQ,2012-06-29T00:00:00Z,2.8937849383023,3292158575.99999,2.085997914
102,TSLA.OQ,2012-07-31T00:00:00Z,-12.3681687449176,2890959067.74,1.827998172
103,TSLA.OQ,2012-08-31T00:00:00Z,4.01167031542471,3006934814.44,1.901331432
104,TSLA.OQ,2012-09-28T00:00:00Z,3.06230200723276,3299497993.44,1.951998048
105,TSLA.OQ,2012-10-31T00:00:00Z,-3.9275956313547,3200758762.861,1.875331458
106,TSLA.OQ,2012-11-30T00:00:00Z,23.5208181137732,3848001214.3,2.254664412
107,TSLA.OQ,2012-12-31T00:00:00Z,0.147841512582025,3853690157.54999,2.257997742
108,TSLA.OQ,2013-01-31T00:00:00Z,10.7469737204819,4295569167.23,2.500664166
109,TSLA.OQ,2013-02-28T00:00:00Z,-8.4144096757118,3988660999.58999,2.321997678
110,TSLA.OQ,2013-03-28T00:00:00Z,8.7855297146642,4339085996.97,2.525997474
111,TSLA.OQ,2013-04-30T00:00:00Z,42.4914225375778,6238690434.97,3.599329734
112,TSLA.OQ,2013-05-31T00:00:00Z,81.0705686220613,11639687059.52,6.517326816
113,TSLA.OQ,2013-06-28T00:00:00Z,2.36303001586355,12782700518.72,7.161992838
114,TSLA.OQ,2013-07-31T00:00:00Z,24.9930187103105,16308258599.16,8.951991048
115,TSLA.OQ,2013-08-30T00:00:00Z,25.8564194219928,20524990343.0,11.2666554
116,TSLA.OQ,2013-09-30T00:00:00Z,14.4497041425761,23484718240.39,12.894653772
117,TSLA.OQ,2013-10-31T00:00:00Z,-17.3094819565715,19607672844.32,10.662656004
118,TSLA.OQ,2013-11-29T00:00:00Z,-20.0602939338517,15603755155.84,8.485324848
119,TSLA.OQ,2013-12-31T00:00:00Z,18.1489629177688,18441681995.112,10.025323308
120,TSLA.OQ,2014-01-31T00:00:00Z,20.6343928706326,22348249472.5799,12.093987906
121,TSLA.OQ,2014-02-28T00:00:00Z,37.2407220572933,30158618341.78,16.320650346
122,TSLA.OQ,2014-03-31T00:00:00Z,-14.8523344647855,25679359476.1,13.89665277
123,TSLA.OQ,2014-04-30T00:00:00Z,-2.10952582633005,25797103362.3999,13.859319474
124,TSLA.OQ,2014-05-30T00:00:00Z,-0.057722833779816,25782212543.2,13.851319482
125,TSLA.OQ,2014-06-30T00:00:00Z,15.5412234697936,29789083809.6,16.003983996
126,TSLA.OQ,2014-07-31T00:00:00Z,-6.98158793813773,27829837466.2,14.88665178
127,TSLA.OQ,2014-08-29T00:00:00Z,20.7792207789123,33612660835.8,17.97998202
128,TSLA.OQ,2014-09-30T00:00:00Z,-10.0185391181598,30245163261.52,16.178650488
129,TSLA.OQ,2014-10-31T00:00:00Z,-0.403823965946137,30304780576.5999,16.11331722
130,TSLA.OQ,2014-11-28T00:00:00Z,2.45537584754447,30658357246.96,16.301317032
131,TSLA.OQ,2014-12-31T00:00:00Z,-9.04220513696196,27886165693.18,14.827318506
132,TSLA.OQ,2015-01-30T00:00:00Z,-8.45735353859391,25527734072.8,13.57331976
133,TSLA.OQ,2015-02-27T00:00:00Z,1.9912725068955,25572614868.9,13.555986444
134,TSLA.OQ,2015-03-31T00:00:00Z,-7.16533884199538,23740250362.95,12.584654082
135,TSLA.OQ,2015-04-30T00:00:00Z,18.6178307180462,28573577407.65,15.06998493
136,TSLA.OQ,2015-05-29T00:00:00Z,10.9489051119363,31702071284.3999,16.71998328
137,TSLA.OQ,2015-06-30T00:00:00Z,6.96172248791538,33909081510.18,17.883982116
138,TSLA.OQ,2015-07-31T00:00:00Z,-0.786550362197247,33838882424.0499,17.74331559
139,TSLA.OQ,2015-08-31T00:00:00Z,-6.42119105726163,32326962121.8599,16.603983396
140,TSLA.OQ,2015-09-30T00:00:00Z,-0.032195751059105,32241296840.4,16.55998344
141,TSLA.OQ,2015-10-30T00:00:00Z,-16.6948470203223,27097756440.67,13.795319538
142,TSLA.OQ,2015-11-30T00:00:00Z,11.2743439830203,30152850712.94,15.350651316
143,TSLA.OQ,2015-12-31T00:00:00Z,4.23434378426775,31429626073.19,16.000650666
144,TSLA.OQ,2016-01-29T00:00:00Z,-20.3366526392873,25037892192.8,12.74665392
145,TSLA.OQ,2016-02-29T00:00:00Z,0.381799161846974,25345572952.34,12.795320538
146,TSLA.OQ,2016-03-31T00:00:00Z,19.7155212838847,30342584782.26,15.317984682
147,TSLA.OQ,2016-04-29T00:00:00Z,6.11309444736201,32248507192.72,16.050650616
148,TSLA.OQ,2016-05-31T00:00:00Z,-7.28110981738032,32565085277.76,14.881985118
149,TSLA.OQ,2016-06-30T00:00:00Z,-4.82424676954175,30967684911.36,14.151985848
150,TSLA.OQ,2016-07-29T00:00:00Z,10.6039193517471,34911536727.95,15.652651014
151,TSLA.OQ,2016-08-31T00:00:00Z,-9.70228715064582,31524319186.05,14.133985866
152,TSLA.OQ,2016-09-30T00:00:00Z,-3.45888142288112,30562189482.78,13.601986398
153,TSLA.OQ,2016-10-31T00:00:00Z,-3.08778120917377,29637984998.6999,13.181986818
154,TSLA.OQ,2016-11-30T00:00:00Z,-5.28579286892932,30510199590.6,12.62665404
155,TSLA.OQ,2016-12-30T00:00:00Z,12.8247096117473,34423044089.31,14.245985754
156,TSLA.OQ,2017-01-31T00:00:00Z,17.8950816622439,40729630926.04,16.795316538
157,TSLA.OQ,2017-02-28T00:00:00Z,-1.17019173798923,40415990295.72,16.665983334
158,TSLA.OQ,2017-03-31T00:00:00Z,11.324452978485,45334165246.7,18.55331478
159,TSLA.OQ,2017-04-28T00:00:00Z,13.0073402410246,51568389165.45,20.937979062
160,TSLA.OQ,2017-05-31T00:00:00Z,8.57770560757931,56014212573.36,22.733977266
161,TSLA.OQ,2017-06-30T00:00:00Z,7.91107132156303,59397963134.96,24.107309226
162,TSLA.OQ,2017-07-31T00:00:00Z,-10.5472746892674,53982945329.81,21.564645102
163,TSLA.OQ,2017-08-31T00:00:00Z,10.0256592601163,59395091485.7,23.72664294
164,TSLA.OQ,2017-09-29T00:00:00Z,-3.42035222848414,56925163545.3,22.73997726
165,TSLA.OQ,2017-10-31T00:00:00Z,-2.80562884729272,55719383464.35,22.101977898
166,TSLA.OQ,2017-11-30T00:00:00Z,-3.50849787331389,51907614945.75,20.58997941
167,TSLA.OQ,2017-12-29T00:00:00Z,0.809454427305223,52327783433.25,20.75664591
168,TSLA.OQ,2018-01-31T00:00:00Z,13.7979765516211,59831272438.96,23.620643046
169,TSLA.OQ,2018-02-28T00:00:00Z,0.061251275705221,57949674959.46,22.870643796
170,TSLA.OQ,2018-03-29T00:00:00Z,-22.4246487474719,44954663898.33,17.741982258
171,TSLA.OQ,2018-04-30T00:00:00Z,10.434749932276,49902364021.4999,19.59331374
172,TSLA.OQ,2018-05-31T00:00:00Z,-3.12010888098813,48345355930.05,18.981981018
173,TSLA.OQ,2018-06-29T00:00:00Z,17.5613602108101,58230744270.75,22.86331047
174,TSLA.OQ,2018-07-31T00:00:00Z,-13.0660446122307,50860639952.1599,19.875980124
175,TSLA.OQ,2018-08-31T00:00:00Z,1.18065338286393,51461127819.04,20.110646556
176,TSLA.OQ,2018-09-28T00:00:00Z,-12.6603991432642,45167946736.88,17.651315682
177,TSLA.OQ,2018-10-31T00:00:00Z,27.4011406151036,57928899663.0,22.487977512
178,TSLA.OQ,2018-11-30T00:00:00Z,6.23825401393336,60188902982.0,23.365309968
