,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
176,PYPL.OQ,2018-09-28T00:00:00Z,-4.61505049508998,103973793102.72,87.84
177,PYPL.OQ,2018-10-31T00:00:00Z,-4.15528233260021,99206051618.72,84.19
178,PYPL.OQ,2018-11-30T00:00:00Z,6.06922126180154,101114993341.28,85.81
179,PYPL.OQ,2018-12-31T00:00:00Z,-2.00442838825828,99088215709.92,84.09
180,PYPL.OQ,2019-01-31T00:00:00Z,5.55357355395187,104134063414.92,88.76
181,PYPL.OQ,2019-02-28T00:00:00Z,6.2513542801514,115056642621.689,98.07
182,PYPL.OQ,2019-03-29T00:00:00Z,5.88355256528543,121720488618.08,103.84
183,PYPL.OQ,2019-04-30T00:00:00Z,8.59976887299576,132497195876.01,112.77
184,PYPL.OQ,2019-05-31T00:00:00Z,-2.67801720416847,128948898176.75,109.75
185,PYPL.OQ,2019-06-28T00:00:00Z,2.73763576165775,134482832667.98,114.46
186,PYPL.OQ,2019-07-31T00:00:00Z,-3.54709068789048,129904965816.0,110.4
187,PYPL.OQ,2019-08-30T00:00:00Z,-1.22282608653329,128316454005.75,109.05
188,PYPL.OQ,2019-09-30T00:00:00Z,-5.00687757971374,121891806239.85,103.59
189,PYPL.OQ,2019-10-31T00:00:00Z,0.492325515193093,122233433940.9,104.1
190,PYPL.OQ,2019-11-29T00:00:00Z,1.41784037363,126824526416.49,108.01
191,PYPL.OQ,2019-12-31T00:00:00Z,0.14813443160091,127012397208.33,108.17
192,PYPL.OQ,2020-01-31T00:00:00Z,5.28797263575989,133587900186.65,113.89
193,PYPL.OQ,2020-02-28T00:00:00Z,-7.43185324808374,126667462825.15,107.99
194,PYPL.OQ,2020-03-31T00:00:00Z,-11.3436429304347,112292591711.98,95.74
195,PYPL.OQ,2020-04-30T00:00:00Z,26.7649180669405,144265602471.0,123.0
196,PYPL.OQ,2020-05-29T00:00:00Z,26.024390241716,181978896651.569,155.01
197,PYPL.OQ,2020-06-30T00:00:00Z,12.3992000532573,204542824099.11,174.23
198,PYPL.OQ,2020-07-31T00:00:00Z,12.5351546816076,230182583487.99,196.07
199,PYPL.OQ,2020-08-31T00:00:00Z,4.11587698365545,239656615459.979,204.14
200,PYPL.OQ,2020-09-30T00:00:00Z,-3.64338810819477,231309605878.71,197.03
201,PYPL.OQ,2020-10-30T00:00:00Z,-5.53215246251758,218086996409.169,186.13
202,PYPL.OQ,2020-11-30T00:00:00Z,15.0378767538704,250882650143.08,214.12
203,PYPL.OQ,2020-12-31T00:00:00Z,9.3779189228026,274410221667.8,234.2
204,PYPL.OQ,2021-01-29T00:00:00Z,0.046968402145975,274418192325.6,234.31
205,PYPL.OQ,2021-02-26T00:00:00Z,9.27709323345545,304330021236.0,259.85
206,PYPL.OQ,2021-03-31T00:00:00Z,-6.54608428197808,285157616520.4,242.84
207,PYPL.OQ,2021-04-30T00:00:00Z,10.8861080580186,308119421283.66,262.29
208,PYPL.OQ,2021-05-28T00:00:00Z,-0.865454269708799,305452788601.079,260.02
209,PYPL.OQ,2021-06-30T00:00:00Z,12.099069300699,342409733179.92,291.48
210,PYPL.OQ,2021-07-30T00:00:00Z,-5.47207355551105,323756608289.499,275.53
211,PYPL.OQ,2021-08-31T00:00:00Z,4.76536130378791,339184780419.0,288.66
212,PYPL.OQ,2021-09-30T00:00:00Z,-9.79651263539802,305755115751.5,260.21
213,PYPL.OQ,2021-10-29T00:00:00Z,-10.614503668734,273300727768.5,232.59
214,PYPL.OQ,2021-11-30T00:00:00Z,-20.5081903785016,217232839501.08,184.89
215,PYPL.OQ,2021-12-31T00:00:00Z,1.99578127775619,221568331835.76,188.58
216,PYPL.OQ,2022-01-31T00:00:00Z,-8.82384133962048,200310944741.22,171.94
217,PYPL.OQ,2022-02-28T00:00:00Z,-31.549657534747,130398999912.09,111.93
218,PYPL.OQ,2022-03-31T00:00:00Z,3.323505762728,134732818188.45,115.65
219,PYPL.OQ,2022-04-29T00:00:00Z,-25.7912060078206,101826450956.97,87.93
220,PYPL.OQ,2022-05-31T00:00:00Z,-3.09336972468242,98676582350.09,85.21
221,PYPL.OQ,2022-06-30T00:00:00Z,-18.0377889908747,80877508641.36,69.84
222,PYPL.OQ,2022-07-29T00:00:00Z,23.8974799515479,100069857377.22,86.53
223,PYPL.OQ,2022-08-31T00:00:00Z,7.98566971002255,108061105666.56,93.44
224,PYPL.OQ,2022-09-30T00:00:00Z,-6.24183006372505,99537878475.18,86.07
225,PYPL.OQ,2022-10-31T00:00:00Z,-2.89299407560475,95283517840.56,83.58
226,PYPL.OQ,2022-11-30T00:00:00Z,-9.08985507390068,89389574466.12,78.41
227,PYPL.OQ,2022-12-30T00:00:00Z,-9.16974875562464,81192775073.04,71.22
228,PYPL.OQ,2023-01-31T00:00:00Z,14.4201067103736,92900859880.68,81.49
229,PYPL.OQ,2023-02-28T00:00:00Z,-10.0574361489879,83269074732.7999,73.6
