,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
0,PEP.OQ,2004-01-30T00:00:00Z,1.37280137204778,81133475602.12,47.26
1,PEP.OQ,2004-02-27T00:00:00Z,10.3785623137695,88761748819.8,51.9
2,PEP.OQ,2004-03-31T00:00:00Z,4.07501172889906,92096727821.7,53.85
3,PEP.OQ,2004-04-30T00:00:00Z,2.27102102052046,93015824290.12,54.49
4,PEP.OQ,2004-05-28T00:00:00Z,-2.05542301298931,91103955631.56,53.37
5,PEP.OQ,2004-06-30T00:00:00Z,1.3808638435977,91974538681.44,53.88
6,PEP.OQ,2004-07-30T00:00:00Z,-7.20118782281942,84701257650.0,50.0
7,PEP.OQ,2004-08-31T00:00:00Z,-7.26497e-10,84701257650.0,50.0
8,PEP.OQ,2004-09-30T00:00:00Z,-1.00234789502933,81949934729.25,48.65
9,PEP.OQ,2004-10-29T00:00:00Z,1.91161356623992,83516500799.0999,49.58
10,PEP.OQ,2004-11-30T00:00:00Z,0.665590962784712,84072379081.95,49.91
11,PEP.OQ,2004-12-31T00:00:00Z,5.05910050774674,87929837469.0,52.2
12,PEP.OQ,2005-01-31T00:00:00Z,2.87356321961205,90456556936.5,53.7
13,PEP.OQ,2005-02-28T00:00:00Z,1.20255543130356,90386345805.1,53.86
14,PEP.OQ,2005-03-31T00:00:00Z,-1.11351554821177,88993463016.05,53.03
15,PEP.OQ,2005-04-29T00:00:00Z,4.27286356623897,93172375293.92,55.64
16,PEP.OQ,2005-05-31T00:00:00Z,1.11430625420881,94210600899.28,56.26
17,PEP.OQ,2005-06-30T00:00:00Z,-4.27078423687392,90308882092.04,53.93
18,PEP.OQ,2005-07-29T00:00:00Z,1.11255331124149,91055856946.88,54.53
19,PEP.OQ,2005-08-31T00:00:00Z,0.586832934840165,91590202705.6,54.85
20,PEP.OQ,2005-09-30T00:00:00Z,3.97063508281135,94092890265.54,56.71
21,PEP.OQ,2005-10-31T00:00:00Z,4.17915711282519,98025179983.92,59.08
